date,title,amount
2026-06-02,"Restaurante Terraco",207.81
2026-06-03,"Netflix.com",55.90
2026-06-07,"Spotify",34.90
2026-06-07,"Amazon Prime BR",14.90
2026-06-08,"Pagamento recebido",2850.00
2026-06-11,"Figma Inc",78.00
2026-06-14,"Adobe Creative Cloud",129.00
2026-06-14,"Estapar Estacionamento",17.93
2026-06-16,"Notion Labs",48.00
2026-06-18,"Rappi Brasil",38.93
2026-06-19,"Anthropic PBC",110.00
2026-06-19,"iFood *Pedido",56.57
2026-06-19,"Rappi Brasil",66.68
2026-06-20,"Estapar Estacionamento",21.78
2026-06-22,"Smart Fit Academia",99.90
2026-06-23,"Outback Steakhouse",220.07
2026-07-03,"Netflix.com",55.90
2026-07-03,"Restaurante Terraco",96.15
2026-07-04,"Amazon Prime BR",14.90
2026-07-04,"Estapar Estacionamento",38.10
2026-07-06,"Rappi Brasil",54.45
2026-07-07,"Spotify",34.90
2026-07-08,"Pagamento recebido",2850.00
2026-07-11,"Figma Inc",78.00
2026-07-14,"Adobe Creative Cloud",129.00
2026-07-16,"Notion Labs",48.00
2026-07-17,"Estapar Estacionamento",33.49
2026-07-18,"Restaurante Terraco",158.77
2026-07-19,"Anthropic PBC",110.00
2026-07-21,"iFood *Pedido",53.63
2026-07-22,"Smart Fit Academia",99.90
2026-07-23,"iFood *Pedido",52.72
2026-08-02,"Rappi Brasil",70.73
2026-08-03,"Netflix.com",55.90
2026-08-04,"Rappi Brasil",75.64
2026-08-07,"Spotify",34.90
2026-08-07,"Outback Steakhouse",172.48
2026-08-08,"Pagamento recebido",2850.00
2026-08-08,"Amazon Prime BR",14.90
2026-08-11,"Figma Inc",78.00
2026-08-14,"Adobe Creative Cloud",129.00
2026-08-15,"Restaurante Terraco",178.33
2026-08-16,"Notion Labs",48.00
2026-08-19,"Anthropic PBC",110.00
2026-08-22,"Smart Fit Academia",99.90
2026-08-25,"iFood *Pedido",65.30
2026-08-27,"Estapar Estacionamento",24.47
2026-08-27,"Estapar Estacionamento",32.84
